Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
160,6,3,NO,1,3,4,YES,3,YES,K
161,6,2,NO,2,4,5,YES,2,YES,KEZ
162,6,2,NO,2,4,5,YES,2,YES,KEZ
163,6,3,NO,2,3,4,NO,3,YES,ZPE3
164,6,2,NO,2,4,5,YES,2,YES,KEZ
165,6,4,NO,1,2,3,YES,4,YES,K
166,6,3,NO,2,5,4,YES,3,YES,ZPE3
167,6,2,NO,2,4,4,NO,2,YES,KEZ
168,6,3,NO,2,5,4,YES,3,YES,ZPE3
169,6,3,NO,2,4,4,YES,3,YES,ZPE3
170,6,3,NO,2,6,4,YES,3,YES,ZPE3
171,6,3,NO,2,5,4,YES,3,YES,ZPE3
172,6,3,NO,2,4,4,YES,3,YES,ZPE3
173,6,3,NO,2,6,4,YES,3,YES,ZPE3
174,6,3,NO,3,5,4,NO,3,YES,KEZ
175,6,3,NO,3,9,4,NO,3,YES,KEZ
176,6,5,YES,0,2,*,*,5,YES,D
177,6,3,NO,1,3,4,YES,3,YES,K
178,6,3,NO,1,3,4,YES,3,YES,K
179,6,3,NO,2,3,4,YES,3,YES,ZPE3
180,6,3,NO,2,3,4,YES,3,YES,ZPE3
181,6,3,NO,2,3,4,YES,3,YES,ZPE3
182,6,3,NO,2,5,4,YES,3,YES,ZPE3
183,6,3,NO,2,3,4,YES,3,YES,ZPE3
184,6,3,NO,2,4,4,YES,3,YES,ZPE3
185,6,3,NO,2,4,4,YES,3,YES,ZPE3
186,6,3,NO,2,6,4,YES,3,YES,ZPE3
187,6,3,NO,3,5,4,YES,3,YES,KEZ
188,6,3,NO,3,5,4,YES,3,YES,KEZ
189,6,3,NO,3,6,4,YES,3,YES,KEZ
190,6,4,NO,2,4,3,YES,4,YES,TS
191,6,4,NO,1,2,3,YES,4,YES,K
192,6,3,NO,2,3,4,YES,3,YES,ZPE3
193,6,3,NO,2,3,4,YES,3,YES,ZPE3
194,6,4,NO,2,4,3,YES,4,YES,TS
195,6,4,NO,2,2,3,YES,4,YES,CCN
196,6,3,NO,3,4,4,YES,3,YES,KEZ
197,6,3,NO,3,6,4,YES,3,YES,KEZ
198,6,3,NO,3,5,4,NO,3,YES,KEZ
199,6,4,NO,3,4,3,YES,4,YES,TS
200,6,4,NO,2,2,3,YES,4,YES,CCN
201,6,3,NO,3,3,4,YES,3,YES,KEZ
202,6,3,NO,3,3,4,YES,3,YES,KEZ
203,6,4,NO,3,4,3,YES,4,YES,TS
204,6,4,NO,4,4,3,NO,4,YES,KEZ
205,6,4,NO,3,2,3,YES,4,YES,CCN
206,6,4,NO,4,4,3,YES,4,YES,KEZ
207,6,4,NO,4,2,3,YES,4,YES,KEZ
208,6,5,NO,Und,1,2,YES,5,YES,CCN
209,7,7,YES,0,0,*,*,7,YES,D
210,7,6,YES,0,6,*,*,6,YES,D
211,7,5,YES,0,6,*,*,5,YES,D
212,7,5,YES,0,5,*,*,5,YES,D
213,7,6,YES,0,5,*,*,6,YES,D
214,7,4,YES,0,6,*,*,4,YES,D
215,7,4,YES,0,6,*,*,4,YES,D
216,7,4,YES,0,5,*,*,4,YES,D
217,7,4,YES,0,4,*,*,4,YES,D
218,7,5,YES,0,5,*,*,5,YES,D
219,7,5,YES,0,7,*,*,5,YES,D
220,7,3,YES,0,6,*,*,3,YES,D
221,7,3,YES,0,6,*,*,3,YES,D
222,7,3,YES,0,6,*,*,3,YES,D
223,7,5,YES,0,4,*,*,5,YES,D
224,7,3,YES,0,5,*,*,3,YES,D
225,7,3,YES,0,5,*,*,3,YES,D
226,7,3,YES,0,5,*,*,3,YES,D
227,7,3,YES,0,4,*,*,3,YES,D
228,7,5,YES,0,5,*,*,5,YES,D
229,7,4,YES,0,5,*,*,4,YES,D
230,7,4,YES,0,5,*,*,4,YES,D
231,7,4,YES,0,5,*,*,4,YES,D
232,7,4,YES,0,7,*,*,4,YES,D
233,7,4,YES,0,7,*,*,4,YES,D
234,7,2,YES,0,6,*,*,2,YES,D
235,7,2,YES,0,6,*,*,2,YES,D
236,7,2,YES,0,6,*,*,2,YES,D
237,7,2,YES,0,6,*,*,2,YES,D
238,7,2,YES,0,6,*,*,2,YES,D
239,7,4,YES,0,4,*,*,4,YES,D
240,7,2,YES,0,6,*,*,2,YES,D
241,7,4,YES,0,4,*,*,4,YES,D
242,7,4,YES,0,6,*,*,4,YES,D
243,7,2,YES,0,5,*,*,2,YES,D
244,7,2,YES,0,5,*,*,2,YES,D
245,7,2,YES,0,5,*,*,2,YES,D
246,7,2,YES,0,5,*,*,2,YES,D
247,7,2,YES,0,5,*,*,2,YES,D
248,7,4,YES,0,3,*,*,4,YES,D
249,7,6,YES,0,4,*,*,6,YES,D
250,7,4,YES,0,5,*,*,4,YES,D
251,7,4,YES,0,5,*,*,4,YES,D
252,7,5,YES,0,4,*,*,5,YES,D
253,7,4,YES,0,6,*,*,4,YES,D
254,7,4,YES,0,8,*,*,4,YES,D
