Reasons Defined:,,,,,,,,,,
TS,Th. 2.17 holds,,,,,,,,,
D ,Disconnected components are size 6 or less (then use cut-vertex reduction),,,,,,,,,
K,"Kappa = 1 => cut-vertex, then use cut-vertex reduction",,,,,,,,,
KEZ,"Kappa = Z+, but Kappa(G) <= M+(G)",,,,,,,,,
ZPE3,Z+ = 3 => M+ = 3,,,,,,,,,
CCN,"Z+ = Order(G) - clique_cover_number(G), but Order(G) - clique_cover_number(G) <= M+(G)",,,,,,,,,
MAT,Exhibited matrix representation with nullity equal to Z+(Gn),,,,,,,,,
DUP,The graph has duplicate vertices.,,,,,,,,,
,,,,,,,,,,
Gn,Order(Gn),Z+(Gn),Disconnected,Kappa(Gn),Clique Cover #,ts(Gn),msr(Gn) = ts(Gn) -1,M+(Gn),M+(Gn) = Z+(Gn)?,Reason
970,7,4,NO,2,5,4,YES,4,YES,TS
971,7,3,NO,2,5,5,YES,3,YES,ZPE3
972,7,3,NO,2,6,5,YES,3,YES,ZPE3
973,7,3,NO,2,7,5,YES,3,YES,ZPE3
974,7,3,NO,2,7,5,YES,3,YES,ZPE3
975,7,3,NO,2,7,5,YES,3,YES,ZPE3
976,7,3,NO,2,4,4,NO,3,YES,ZPE3
977,7,3,NO,2,8,5,YES,3,YES,ZPE3
978,7,3,NO,2,8,5,YES,3,YES,ZPE3
979,7,3,NO,2,6,5,NO,3,YES,ZPE3
980,7,3,NO,2,7,5,NO,3,YES,ZPE3
981,7,3,NO,2,6,5,NO,3,YES,ZPE3
982,7,3,NO,2,5,5,NO,3,YES,ZPE3
983,7,4,NO,2,7,4,YES,4,YES,TS
984,7,4,NO,2,6,4,YES,4,YES,TS
985,7,3,NO,2,8,5,NO,3,YES,ZPE3
986,7,3,NO,2,4,4,NO,3,YES,ZPE3
987,7,3,NO,2,6,5,NO,3,YES,ZPE3
988,7,4,NO,2,8,4,YES,4,YES,TS
989,7,3,NO,2,6,5,NO,3,YES,ZPE3
990,7,4,NO,2,5,4,YES,4,YES,TS
991,7,4,NO,2,5,4,YES,4,YES,TS
992,7,3,NO,3,6,5,YES,3,YES,KEZ
993,7,3,NO,3,7,5,YES,3,YES,KEZ
994,7,3,NO,3,7,5,YES,3,YES,KEZ
995,7,4,NO,2,6,4,YES,4,YES,TS
996,7,4,NO,2,4,4,YES,4,YES,TS
997,7,3,NO,3,6,5,NO,3,YES,KEZ
998,7,3,NO,3,6,4,NO,3,YES,KEZ
999,7,3,NO,3,6,5,NO,3,YES,KEZ
1000,7,4,NO,3,8,4,YES,4,YES,TS
1001,7,4,NO,3,6,4,YES,4,YES,TS
1002,7,4,NO,2,5,4,YES,4,YES,TS
1003,7,3,NO,3,7,5,NO,3,YES,KEZ
1004,7,3,NO,3,9,5,NO,3,YES,KEZ
1005,7,4,NO,3,6,4,YES,4,YES,TS
1006,7,3,NO,3,5,4,NO,3,YES,KEZ
1007,7,3,NO,3,12,5,NO,3,YES,KEZ
1008,7,3,NO,3,6,5,YES,3,YES,KEZ
1009,7,5,NO,1,2,3,YES,5,YES,K
1010,7,5,YES,0,3,*,*,5,YES,D
1011,7,5,YES,0,5,*,*,5,YES,D
1012,7,4,NO,1,3,4,YES,4,YES,K
1013,7,4,NO,1,3,4,YES,4,YES,K
1014,7,3,NO,1,4,5,YES,3,YES,K
1015,7,3,NO,1,4,4,NO,3,YES,K
1016,7,3,NO,1,4,5,YES,3,YES,K
1017,7,3,NO,1,4,5,YES,3,YES,K
1018,7,4,NO,1,5,4,NO,4,YES,K
1019,7,4,NO,1,5,4,YES,4,YES,K
1020,7,4,NO,1,5,4,YES,4,YES,K
1021,7,3,NO,1,4,5,YES,3,YES,K
1022,7,4,NO,1,3,4,YES,4,YES,K
1023,7,4,NO,1,5,4,YES,4,YES,K
1024,7,4,NO,1,5,4,NO,4,YES,K
1025,7,3,NO,2,4,5,YES,3,YES,ZPE3
1026,7,3,NO,2,4,5,YES,3,YES,ZPE3
1027,7,3,NO,2,4,5,YES,3,YES,ZPE3
1028,7,3,NO,2,4,5,YES,3,YES,ZPE3
1029,7,3,NO,2,4,5,YES,3,YES,ZPE3
1030,7,3,NO,2,4,5,YES,3,YES,ZPE3
1031,7,3,NO,2,4,5,YES,3,YES,ZPE3
1032,7,5,NO,1,2,3,YES,5,YES,K
1033,7,3,NO,2,4,5,YES,3,YES,ZPE3
1034,7,4,NO,2,5,4,YES,4,YES,TS
1035,7,4,NO,2,5,4,YES,4,YES,TS
1036,7,4,NO,2,4,4,YES,4,YES,TS
1037,7,4,NO,2,6,4,YES,4,YES,TS
1038,7,4,NO,2,3,4,YES,4,YES,CCN
1039,7,3,NO,2,5,5,YES,3,YES,ZPE3
1040,7,4,NO,2,3,4,YES,4,YES,CCN
1041,7,3,NO,2,4,5,YES,3,YES,ZPE3
1042,7,3,NO,2,7,5,YES,3,YES,ZPE3
1043,7,3,NO,2,5,5,YES,3,YES,ZPE3
1044,7,3,NO,2,5,5,YES,3,YES,ZPE3
1045,7,3,NO,2,8,5,YES,3,YES,ZPE3
1046,7,3,NO,2,5,5,YES,3,YES,ZPE3
1047,7,3,NO,2,4,5,YES,3,YES,ZPE3
1048,7,3,NO,2,5,5,YES,3,YES,ZPE3
1049,7,3,NO,2,7,5,YES,3,YES,ZPE3
1050,7,3,NO,2,5,5,YES,3,YES,ZPE3
1051,7,3,NO,2,4,5,YES,3,YES,ZPE3
1052,7,3,NO,2,6,5,YES,3,YES,ZPE3
1053,7,3,NO,2,6,5,NO,3,YES,ZPE3
1054,7,3,NO,2,5,5,YES,3,YES,ZPE3
1055,7,3,NO,2,5,5,YES,3,YES,ZPE3
1056,7,4,NO,2,5,4,YES,4,YES,TS
1057,7,3,NO,2,6,5,YES,3,YES,ZPE3
1058,7,3,NO,2,4,4,NO,3,YES,ZPE3
1059,7,3,NO,2,7,4,NO,3,YES,ZPE3
1060,7,4,NO,2,5,4,NO,*,*,MAT
1061,7,3,NO,2,4,5,YES,3,YES,ZPE3
1062,7,4,NO,2,5,4,YES,4,YES,TS
1063,7,4,NO,2,3,4,YES,4,YES,CCN
1064,7,4,NO,2,6,4,YES,4,YES,TS
1065,7,3,NO,2,5,5,NO,3,YES,ZPE3
1066,7,4,NO,2,6,4,YES,4,YES,TS
1067,7,4,NO,2,7,4,YES,4,YES,TS
1068,7,4,NO,2,5,4,YES,4,YES,TS
1069,7,3,NO,2,6,4,NO,3,YES,ZPE3
1070,7,4,NO,2,5,4,YES,4,YES,TS
1071,7,3,NO,2,4,4,NO,3,YES,ZPE3
1072,7,4,NO,2,8,4,YES,4,YES,TS
1073,7,4,NO,2,6,4,YES,4,YES,TS
1074,7,4,NO,2,4,4,YES,4,YES,TS
1075,7,4,NO,2,7,4,NO,*,*,MAT
1076,7,4,NO,2,4,4,NO,*,*,DUP
1077,7,4,NO,2,5,4,YES,4,YES,TS
1078,7,3,NO,3,5,5,YES,3,YES,KEZ
1079,7,3,NO,3,7,5,YES,3,YES,KEZ
1080,7,3,NO,3,7,5,YES,3,YES,KEZ
1081,7,4,NO,2,3,4,YES,4,YES,CCN
1082,7,3,NO,3,5,5,YES,3,YES,KEZ
1083,7,3,NO,3,6,5,YES,3,YES,KEZ
1084,7,3,NO,3,7,5,YES,3,YES,KEZ
1085,7,3,NO,3,6,5,YES,3,YES,KEZ
1086,7,4,NO,2,4,4,YES,4,YES,TS
1087,7,4,NO,2,6,4,YES,4,YES,TS
1088,7,3,NO,3,8,5,YES,3,YES,KEZ
1089,7,3,NO,3,6,5,NO,3,YES,KEZ
1090,7,4,NO,3,6,4,YES,4,YES,TS
1091,7,3,NO,3,5,4,NO,3,YES,KEZ
1092,7,3,NO,3,7,5,NO,3,YES,KEZ
1093,7,3,NO,3,6,5,NO,3,YES,KEZ
1094,7,4,NO,3,8,4,YES,4,YES,TS
1095,7,4,NO,3,6,4,YES,4,YES,TS
1096,7,4,NO,3,6,4,YES,4,YES,TS
1097,7,3,NO,3,6,4,NO,3,YES,KEZ
1098,7,4,NO,3,5,4,YES,4,YES,TS
1099,7,4,NO,2,4,4,YES,4,YES,TS
1100,7,4,NO,3,7,4,NO,4,YES,MAT
1101,7,3,NO,3,6,4,NO,3,YES,KEZ
1102,7,4,NO,3,6,4,NO,4,YES,DUP
1103,7,4,NO,3,5,4,NO,4,YES,DUP
1104,7,4,NO,3,5,4,NO,4,YES,MAT
1105,7,4,NO,3,9,4,NO,4,YES,MAT
1106,7,4,NO,3,9,4,NO,4,YES,DUP
1107,7,5,YES,0,3,*,*,5,YES,D
1108,7,4,NO,1,3,4,YES,4,YES,K
1109,7,4,NO,1,3,4,YES,4,YES,K
1110,7,4,NO,1,5,4,NO,4,YES,K
1111,7,4,NO,1,5,4,YES,4,YES,K
1112,7,4,NO,1,3,4,YES,4,YES,K
1113,7,4,NO,2,3,4,YES,4,YES,CCN
1114,7,4,NO,2,3,4,YES,4,YES,CCN
1115,7,4,NO,2,3,4,YES,4,YES,CCN
1116,7,3,NO,2,4,5,YES,3,YES,ZPE3
1117,7,3,NO,2,4,4,NO,3,YES,ZPE3
1118,7,3,NO,2,4,5,YES,3,YES,ZPE3
1119,7,3,NO,2,4,5,YES,3,YES,ZPE3
1120,7,4,NO,2,3,4,NO,4,YES,CCN
1121,7,3,NO,2,4,5,YES,3,YES,ZPE3
1122,7,4,NO,2,5,4,YES,4,YES,TS
1123,7,4,NO,2,5,4,YES,4,YES,TS
1124,7,4,NO,2,3,4,YES,4,YES,CCN
1125,7,4,NO,2,5,4,YES,4,YES,TS
1126,7,4,NO,2,5,4,YES,4,YES,TS
1127,7,3,NO,2,4,4,NO,3,YES,ZPE3
1128,7,4,NO,2,6,4,YES,4,YES,TS
1129,7,4,NO,2,4,4,YES,4,YES,TS
1130,7,4,NO,2,5,4,YES,4,YES,TS
1131,7,4,NO,2,5,4,YES,4,YES,TS
1132,7,4,NO,2,5,4,YES,4,YES,TS
1133,7,4,NO,2,4,4,YES,4,YES,TS
1134,7,4,NO,2,6,4,YES,4,YES,TS
1135,7,4,NO,2,5,4,NO,4,YES,MAT
1136,7,4,NO,2,5,4,YES,4,YES,TS
1137,7,4,NO,2,6,4,NO,4,YES,MAT
1138,7,4,NO,2,3,4,YES,4,YES,CCN
1139,7,3,NO,3,5,5,YES,3,YES,KEZ
1140,7,3,NO,3,8,5,YES,3,YES,KEZ
1141,7,3,NO,3,5,5,YES,3,YES,KEZ
1142,7,3,NO,3,4,5,YES,3,YES,KEZ
1143,7,3,NO,3,6,5,YES,3,YES,KEZ
1144,7,4,NO,2,3,4,YES,4,YES,CCN
1145,7,3,NO,3,5,4,NO,3,YES,KEZ
1146,7,4,NO,3,5,4,YES,4,YES,TS
1147,7,4,NO,3,5,4,YES,4,YES,TS
1148,7,3,NO,3,7,5,NO,3,YES,KEZ
1149,7,4,NO,3,6,4,YES,4,YES,TS
1150,7,3,NO,3,4,4,NO,3,YES,KEZ
1151,7,4,NO,3,5,4,YES,4,YES,TS
1152,7,4,NO,3,8,4,YES,4,YES,TS
1153,7,4,NO,3,6,4,YES,4,YES,TS
1154,7,3,NO,3,5,4,NO,3,YES,KEZ
1155,7,4,NO,3,6,4,YES,4,YES,TS
1156,7,4,NO,3,5,4,YES,4,YES,TS
1157,7,4,NO,3,6,4,YES,4,YES,TS
1158,7,4,NO,3,5,4,YES,4,YES,TS
1159,7,4,NO,3,5,4,YES,4,YES,TS
1160,7,3,NO,3,6,5,NO,3,YES,KEZ
1161,7,4,NO,3,6,4,YES,4,YES,TS
1162,7,4,NO,3,4,4,YES,4,YES,TS
1163,7,4,NO,3,6,4,YES,4,YES,TS
1164,7,5,NO,2,4,3,YES,5,YES,TS
1165,7,4,NO,3,7,4,NO,4,YES,MAT
1166,7,4,NO,3,5,4,NO,4,YES,DUP
1167,7,4,NO,3,5,4,NO,4,YES,MAT
1168,7,4,NO,3,5,4,NO,4,YES,MAT
1169,7,4,NO,3,9,4,NO,4,YES,MAT
1170,7,4,NO,4,7,4,NO,4,YES,KEZ
1171,7,4,NO,3,6,4,NO,4,YES,DUP
1172,7,6,YES,0,2,*,*,6,YES,D
1173,7,4,NO,1,3,4,YES,4,YES,K
1174,7,4,NO,1,3,4,YES,4,YES,K
1175,7,4,NO,2,3,4,YES,4,YES,CCN
1176,7,4,NO,2,3,4,YES,4,YES,CCN
1177,7,4,NO,2,3,4,YES,4,YES,CCN
1178,7,4,NO,2,5,4,NO,4,YES,DUP
1179,7,4,NO,2,5,4,YES,4,YES,TS
1180,7,4,NO,2,3,4,YES,4,YES,CCN
1181,7,4,NO,2,4,4,YES,4,YES,TS
1182,7,4,NO,2,4,4,YES,4,YES,TS
1183,7,4,NO,2,6,4,YES,4,YES,TS
1184,7,3,NO,3,4,5,YES,3,YES,KEZ
1185,7,3,NO,3,4,5,YES,3,YES,KEZ
1186,7,4,NO,3,3,4,YES,4,YES,CCN
1187,7,3,NO,3,4,5,YES,3,YES,KEZ
1188,7,5,NO,2,2,3,YES,5,YES,CCN
1189,7,4,NO,3,5,4,YES,4,YES,TS
1190,7,3,NO,3,4,4,NO,3,YES,KEZ
1191,7,4,NO,3,5,4,YES,4,YES,TS
1192,7,4,NO,3,4,4,YES,4,YES,TS
1193,7,4,NO,3,6,4,YES,4,YES,TS
1194,7,4,NO,3,4,4,YES,4,YES,TS
1195,7,4,NO,3,6,4,YES,4,YES,TS
1196,7,4,NO,3,4,4,YES,4,YES,TS
1197,7,4,NO,3,6,4,YES,4,YES,TS
1198,7,4,NO,3,4,4,YES,4,YES,TS
1199,7,4,NO,3,5,4,YES,4,YES,TS
1200,7,4,NO,3,5,4,YES,4,YES,TS
1201,7,4,NO,3,5,4,YES,4,YES,TS
1202,7,4,NO,3,6,4,NO,4,YES,MAT
1203,7,4,NO,3,6,4,YES,4,YES,TS
1204,7,4,NO,3,5,4,NO,4,YES,DUP
1205,7,4,NO,3,4,4,NO,4,YES,MAT
1206,7,4,NO,3,6,4,YES,4,YES,TS
1207,7,4,NO,4,5,4,NO,4,YES,KEZ
1208,7,4,NO,4,9,4,NO,4,YES,KEZ
1209,7,4,NO,4,5,4,NO,4,YES,KEZ
1210,7,4,NO,4,7,4,NO,4,YES,KEZ
1211,7,5,NO,3,4,3,YES,5,YES,TS
1212,7,4,NO,4,6,4,NO,4,YES,KEZ
1213,7,5,NO,1,2,3,YES,5,YES,K
1214,7,4,NO,2,3,4,YES,4,YES,CCN
1215,7,4,NO,2,3,4,YES,4,YES,CCN
1216,7,5,NO,2,4,3,YES,5,YES,TS
1217,7,4,NO,3,3,4,YES,4,YES,CCN
1218,7,4,NO,3,3,4,YES,4,YES,CCN
1219,7,4,NO,3,3,4,YES,4,YES,CCN
1220,7,4,NO,3,5,4,YES,4,YES,TS
1221,7,4,NO,3,3,4,YES,4,YES,CCN
1222,7,4,NO,3,4,4,YES,4,YES,TS
1223,7,4,NO,3,4,4,YES,4,YES,TS
1224,7,4,NO,3,6,4,YES,4,YES,TS
1225,7,4,NO,3,5,4,NO,4,YES,DUP
1226,7,5,NO,3,4,3,YES,5,YES,TS
1227,7,4,NO,4,5,4,YES,4,YES,KEZ
1228,7,4,NO,4,5,4,YES,4,YES,KEZ
1229,7,4,NO,4,6,4,YES,4,YES,KEZ
1230,7,5,NO,3,4,3,YES,5,YES,TS
1231,7,4,NO,4,5,4,NO,4,YES,KEZ
1232,7,4,NO,4,5,4,NO,4,YES,KEZ
1233,7,4,NO,4,6,4,NO,4,YES,KEZ
1234,7,5,NO,2,2,3,YES,5,YES,CCN
1235,7,4,NO,3,3,4,YES,4,YES,CCN
1236,7,4,NO,3,3,4,YES,4,YES,CCN
1237,7,5,NO,3,4,3,YES,5,YES,TS
1238,7,5,NO,3,2,3,YES,5,YES,CCN
1239,7,4,NO,4,4,4,YES,4,YES,KEZ
1240,7,4,NO,4,6,4,YES,4,YES,KEZ
1241,7,4,NO,4,5,4,NO,4,YES,KEZ
1242,7,5,NO,4,4,3,YES,5,YES,TS
1243,7,5,NO,4,4,3,NO,*,*,DUP
1244,7,5,NO,3,2,3,YES,5,YES,CCN
1245,7,4,NO,4,3,4,YES,4,YES,KEZ
1246,7,4,NO,4,3,4,YES,4,YES,KEZ
1247,7,5,NO,4,4,3,YES,5,YES,TS
1248,7,5,NO,5,4,3,NO,5,YES,KEZ
1249,7,5,NO,4,2,3,YES,5,YES,CCN
1250,7,5,NO,5,4,3,YES,5,YES,KEZ
1251,7,5,NO,5,2,3,YES,5,YES,KEZ
1252,7,6,NO,Und,1,2,YES,6,YES,CCN
